00:20.302  render           | Fra: 4 | Mem: 2M | Updating Objects Flags
00:20.302  render           | Fra: 4 | Mem: 2M | Updating Primitive Offsets
00:20.302  render           | Fra: 4 | Mem: 2M | Updating Images
00:20.302  render           | Fra: 4 | Mem: 2M | Updating Volume
00:20.302  render           | Fra: 4 | Mem: 2M | Updating Camera Volume
00:20.302  render           | Fra: 4 | Mem: 2M | Updating Lookup Tables
00:20.302  render           | Fra: 4 | Mem: 2M | Updating Lights
00:20.302  render           | Fra: 4 | Mem: 2M | Updating Lights | Computing tree
00:20.302  render           | Fra: 4 | Mem: 2M | Updating Integrator
00:20.302  render           | Fra: 4 | Mem: 2M | Updating Film
00:20.302  render           | Fra: 4 | Mem: 2M | Updating Lookup Tables
00:20.302  render           | Fra: 4 | Mem: 2M | Updating Baking
00:20.302  render           | Fra: 4 | Mem: 2M | Updating Device | Writing constant memory
00:20.302  render           | Fra: 4 | Mem: 2M | Loading denoising kernels (may take a few minutes the first time)
00:20.302  render           | Fra: 4 | Mem: 2M | Sample 0/12
00:20.609  render           | Fra: 4 | Remaining: 00:03.36 | Mem: 26M | Sample 1/12
00:25.862  render           | Fra: 4 | Mem: 26M | Sample 12/12
00:25.862  render           | Fra: 4 | Mem: 26M | Finished
00:25.941  render           | Saved: '/home/ricardo/cvg-his-v4/docs/frontend/assets/video/frames/pulse-0004.png'
00:25.941  render           | Time: 00:05.64 (Saving: 00:00.04)
00:25.941  render           | Rendering frame 5
00:25.941  render           | Start rendering: Scene, ViewLayer
00:25.941  render           | Engine: Cycles
00:25.945  render           | Fra: 5 | Mem: 0M | Synchronizing object | Cyan
00:25.945  render           | Fra: 5 | Mem: 0M | Synchronizing object | Key
00:25.945  render           | Fra: 5 | Mem: 0M | Synchronizing object | Plane
00:25.946  render           | Fra: 5 | Mem: 0M | Synchronizing object | Detalhe champagne
00:25.946  render           | Fra: 5 | Mem: 0M | Synchronizing object | Arco mineral
